City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,12.84,56,87,1.3,AR,2023-02-07 20:30:57
1,swan hill,-35.3378,143.5544,15.67,63,0,4.53,AU,2023-02-07 20:34:27
2,avarua,-21.2078,-159.775,28.03,78,75,5.14,CK,2023-02-07 20:34:35
3,great yarmouth,52.6083,1.7305,3.86,85,52,2.84,GB,2023-02-07 20:34:40
4,dori,14.0354,-0.0345,28.42,13,100,4.53,BF,2023-02-07 20:34:41
5,mahebourg,-20.4081,57.7,26.25,83,40,6.17,MU,2023-02-07 20:34:41
6,presidencia roque saenz pena,-26.7852,-60.4388,40.79,15,47,2.88,AR,2023-02-07 20:34:42
7,grand-lahou,5.1367,-5.0242,26.03,89,46,2.61,CI,2023-02-07 20:34:42
8,salinopolis,-0.6136,-47.3561,26.5,82,62,5.36,BR,2023-02-07 20:24:59
9,nizhniy kuranakh,58.8353,125.4869,-31.13,99,100,0.83,RU,2023-02-07 20:34:42
10,provideniya,64.3833,-173.3,-26.97,94,57,1.65,RU,2023-02-07 20:34:43
11,saint-philippe,-21.3585,55.7679,25.77,85,92,5.96,RE,2023-02-07 20:34:43
12,hobyo,5.3505,48.5268,24.47,78,10,5.81,SO,2023-02-07 20:34:43
13,albany,42.6001,-73.9662,4.29,43,100,1.79,US,2023-02-07 20:31:43
14,khatanga,71.9667,102.5,-43.96,100,79,1.08,RU,2023-02-07 20:34:44
15,cayenne,4.9333,-52.3333,28.02,74,40,6.69,GF,2023-02-07 20:34:44
16,tuatapere,-46.1333,167.6833,10.73,81,68,6.07,NZ,2023-02-07 20:34:44
17,isangel,-19.55,169.2667,26.84,81,100,0.15,VU,2023-02-07 20:34:45
18,ceres,37.5949,-120.9577,13.82,61,0,0.0,US,2023-02-07 20:34:45
19,mar del plata,-38.0023,-57.5575,29.35,88,3,6.26,AR,2023-02-07 20:30:07
20,grimshaw,56.1834,-117.6027,-1.21,55,20,6.17,CA,2023-02-07 20:34:46
21,jamestown,42.097,-79.2353,8.77,60,100,4.63,US,2023-02-07 20:31:56
22,bolshaya glushitsa,50.2406,43.5908,-11.56,89,9,5.97,RU,2023-02-07 20:34:46
23,rikitea,-23.1203,-134.9692,26.07,74,93,5.49,PF,2023-02-07 20:32:42
24,vaini,-21.2,-175.2,26.51,79,56,6.4,TO,2023-02-07 20:34:48
